trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.4, 'e': 0.24486529903492948}",25,2,-39.947620179116434,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
141,False,"{'a': 0.4, 'e': 0.2424166460445802}",25,11,-29.061576825739518,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.4, 'e': 0.2399924795841344}",25,14,19.370209717913937,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.4, 'e': 0.23759255478829303}",30,19,-35.36576430012834,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.4, 'e': 0.23521662924041012}",25,0,-2.0736959983967918,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.4, 'e': 0.232864462948006}",20,12,7.035816403529252,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.4, 'e': 0.23053581831852593}",30,20,16.403204177088906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': 0.22823046013534068}",20,9,9.222246839645823,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.22594815553398728}",25,15,-31.140132295728666,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.4, 'e': 0.2236886739786474}",25,16,11.871874247237043,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.22145178723886091}",20,7,1.7445474306464397,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.4, 'e': 0.2192372693664723}",20,8,10.834700797324768,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.4, 'e': 0.21704489667280757}",30,12,16.278881266620107,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.2148744477060795}",20,10,-14.415304158875134,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
154,False,"{'a': 0.4, 'e': 0.2127257032290187}",25,16,5.102524940894469,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
